city1,city2
Sochi,Sukhumi
Sukhumi,Zugdidi
Şanlıurfa,Diyarbakır
Diyarbakır,Bitlis
Bitlis,Doğubeyazit
Doğubeyazit,Iğdir
Iğdir,Dilucu
Dilucu,Sadarak
Sadarak,Nakhchivan
Jönköping,Linköping
Linköping,Norrköping
Norrköping,Kalmar
Norrköping,Södertälje
Uppsala,Sundsvall
Sundsvall,Örnsköldsvik
Örnsköldsvik,Umeå
Haparanda,Tornio
Tornio,Kolari
Tromsø,Nordkjosbotn
Nordkjosbotn,Skibotn
Skibotn,Kilpisjärvi
Kilpisjärvi,Kolari
Kokkola,Vaasa
Vaasa,Pori
Arna,Voss
Voss,Lærdal
Lærdal,Tyin
Tyin,Fagernes
Fagernes,Hønefoss
Hønefoss,Sandvika
Stranraer,Gretna
Gretna,Carlisle
Arendal,Porsgrunn
Porsgrunn,Larvik
Larvik,Sandefjord
Sandefjord,Horten
Horten,Drammen
Drammen,Kongsberg
Askim,Karlstad
Västerås,Stockholm/Kapellskär
Kotka,Vaalimaa
Vaalimaa,Vyborg
Holyhead,Chester
Chester,Warrington
Groningen,Hoogeveen
Sassnitz,Stralsund
Rēzekne,Velikiye Luki
Rēzekne,Daugavpils
Rēzekne,Ostrov
Vladimir,Nizhny Novgorod
Nizhny Novgorod,Kazan
Kazan,Yelabuga
Yelabuga,Perm
Perm,Yekaterinburg
Yekaterinburg,Tyumen
Koszalin,Słupsk
Słupsk,Gdynia
Nesterov,Marijampolė
Zeebrugge,Jabbeke
Aktobe,Karabutak
Karabutak,Aral
Aral,Novokazalinsk
Dunkirk,Lille
Lille,Mons
Mons,Charleroi
Charleroi,Namur
Charleroi,Nivelles
St. Vith,Wittlich
Wittlich,Bingen
Bingen,Wiesbaden
Amiens,Charleville-Mézières
Trier,Koblenz
Caen,Rouen
Caen,Saint-Brieuc
Regensburg,Passau
Passau,Wels
Wels,Braunau am Inn
Iaşi,Bălţi
Iaşi,Sculeni
Iaşi,Săbăoani
Sculeni,Chişinău
Chişinău,Leuşeni
Chişinău,Giurgiuleşti
Melitopol,Taganrog
Poitiers,Mâcon
Sion,Simplon
Simplon,Gravellona Toce
Innichen,Spittal an der Drau
Klagenfurt,Loiblpass
Veszprém,Székesfehérvár
Cuneo,Asti
Pisa,Migliarino
Grosseto,Arezzo
Arezzo,Sansepolcro
Vila Real,Bragança
Vila Real,Viseu
Vila Real,Chaves
Bragança,Guarda
Bragança,Zamora
Zamora,Tordesillas
Tekirdağ,Silivri
Kristalopigi,Florina
Florina,Vévi
Vévi,Géfira
Yozgat,Sivas
Sivas,Refahiye
Megara,Attiki Odos
Usak,Afyonkarahisar
Afyonkarahisar,Sivrihisar
Topboğazi,Kırıkhan
Kırıkhan,Reyhanlı
Reyhanlı,Cilvegözü
Sadakhlo,Bagratashen
Bagratashen,Vanadzor
Saatly Rayon,Mehgri
Mehgri,Ordubad
Ordubad,Djulfa
Djulfa,Nakhchivan
Uchkuduk,Kzylorda
Kokand,Andijan
Andijan,Osh
Kulob,Kalaikhumb
Kalaikhumb,Khorugh
Khorugh,Murghab
Khorugh,Ishkoshim
Murghab,Kulma
Ishkoshim,Lyanga
Lyanga,China
Kokpek,Kegen
Kokpek,Chundzha
Kegen,Tyup
Chundzha,Koktal
Koktal,Khorgas
Usharal,Druzhba
Zapadnoe,Zhaksy
Zapadnoe,Petropavl
Zhaksy,Atbasar
Haugesund,Røldal
Røldal,Haukeli
Haukeli,Seljord
Seljord,Kongsberg
Tresfjord,Åndalsnes
Hoogeveen,Haselünne
Haselünne,Cloppenburg
Cuxhaven,Bremerhaven
Stralsund,Neubrandenburg
Ukmergė,Daugavpils
Ukmergė,Panevėžys
Tartu,Võru
Tartu,Jõhvi
Tartu,Valga
Võru,Luhamaa
Valga,Valka
Valka,Valmiera
Valmiera,Incukalns
Keila,Paldiski
Breda,Gorinchem
Breda,Flushing
Hasselt,Heerlen
Barwinek,Vyšný Komárnik
Vyšný Komárnik,Svidník
Lublin,Kovel
Trosna,Glukhkov
Roeselare,Kortrijk
Kortrijk,Tournai
Olomouc,Český Těšín
Courtney,Troyes
Memmingen,Füssen
Garmisch-Partenkirchen,Mittenwald
Mittenwald,Seefeld
Nyíregyháza,Chop
Dunajská Streda,Medveďov
Medveďov,Vámosszabadi
Sărăţel,Reghin
Reghin,Topliţa
Topliţa,Gheorgheni
Gheorgheni,Miercurea-Ciuc
Miercurea-Ciuc,Sfântu Gheorghe
Sfântu Gheorghe,Chichiş
Tişiţa,Tecuci
Tecuci,Albiţa
Albiţa,Leuşeni
Bălţi,Mohyliv-Podilskyi
Krasnodar,Djoubga
Saintes,Angoulême
Angoulême,Limoges
Digoin,Chalon-sur-Saône
St. Johann in Tirol,Lofer
Balatonkeresztúr,Nagyatád
Nagyatád,Barcs
Barcs,Virovitica
Virovitica,Okučani
Okučani,Banja Luka
Banja Luka,Jajce
Jajce,Donji Vakuf
Jajce,Bihać
Lugoj,Ilia
Negru Vodă,Kardam
Ashtarak,Gyumri
Gyumri,Ashotsk
Ashotsk,Akhalkalaki
Akhalkalaki,Akhaltsikhe
Akhaltsikhe,"Vale, Georgia"
"Vale, Georgia",Türkgözü
Türkgözü,Posof
Posof,Kars
Kars,Horasan
Supsa,Lanchkhuti
Grenoble,Valence
Pula,Koper
Sarajevo,Užice
Užice,Čačak
Čačak,Kraljevo
Čačak,Nova Varoš
Kraljevo,Kruševac
Kruševac,Pojate
Pojate,Paraćin
Paraćin,Zaječar
Coimbra,Viseu
Chaves,Verín
Chaves,Famalicão
Guarda,Castelo Branco
Castelo Branco,Portalegre
Castelo Branco,Abrantes
Portalegre,Évora
Évora,Beja
Beja,Ourique
Salamanca,Mérida
Torres Novas,Abrantes
Avellino,Benevento
Spezzano Albanese,Sybaris
Sant'Eufemia Lamezia,Catanzaro
Balıkesir,Manisa
Jaén,Granada
Buonfornello,Enna
Alcamo,Trapani
Arta,Agrinio
Agrinio,Messolonghi
Aktio,Vonitsa
Vonitsa,Amfilochia
Amfilochia,Karpenisi
Sparti,Gytheio
Eleusina,Thebes
